"ProbeSet Name","HR_14.42l.CEL","p-value (HR_14.42l.CEL)","Detection (HR_14.42l.CEL)","HR_14.42f.CEL","p-value (HR_14.42f.CEL)","Detection (HR_14.42f.CEL)","HR_14.42g.CEL","p-value (HR_14.42g.CEL)","Detection (HR_14.42g.CEL)","HR_14.42h.CEL","p-value (HR_14.42h.CEL)","Detection (HR_14.42h.CEL)","HR_14.42i.CEL","p-value (HR_14.42i.CEL)","Detection (HR_14.42i.CEL)","HR_14.42j.CEL","p-value (HR_14.42j.CEL)","Detection (HR_14.42j.CEL)","HR_14.42k.CEL","p-value (HR_14.42k.CEL)","Detection (HR_14.42k.CEL)"
"kshv-miR-K12-3-star_st","1.456514","0.4995323","FALSE","1.741868","0.142194","FALSE","1.117444","0.929688","FALSE","1.308128","0.7076498","FALSE","1.234627","0.7304209","FALSE","0.9789285","0.9716154","FALSE","1.333546","0.4598097","FALSE"
"mml-miR-200c_st","9.305479","8.72E-16","TRUE","7.194993","8.72E-16","TRUE","10.61141","8.72E-16","TRUE","7.170207","8.72E-16","TRUE","7.597353","1.04E-13","TRUE","7.038431","6.16E-12","TRUE","7.478024","1.74E-14","TRUE"
"mml-miR-141_st","1.419195","0.7097388","FALSE","1.126399","0.913871","FALSE","2.873543","0.02237618","TRUE","1.061134","0.8425578","FALSE","1.084924","0.7124327","FALSE","1.103913","0.9625899","FALSE","0.9588891","0.9215147","FALSE"
"ggo-miR-200c_st","9.193743","8.72E-16","TRUE","6.990614","8.72E-16","TRUE","10.5396","8.72E-16","TRUE","7.136705","8.72E-16","TRUE","7.279374","5.27E-15","TRUE","7.277728","5.54E-12","TRUE","7.427645","9.57E-15","TRUE"
"ggo-miR-141_st","1.507491","0.4230835","FALSE","1.207567","0.8165813","FALSE","1.873474","0.01488094","TRUE","1.460821","0.832062","FALSE","1.511379","0.7852368","FALSE","1.008366","0.9983356","FALSE","1.298748","0.8112569","FALSE"
"ppy-miR-200c_st","9.23336","8.72E-16","TRUE","7.152364","8.72E-16","TRUE","10.61507","8.72E-16","TRUE","7.167657","8.72E-16","TRUE","7.854937","2.90E-15","TRUE","6.997181","4.39E-12","TRUE","7.425592","9.57E-15","TRUE"
"ppy-miR-141_st","1.279601","0.9236977","FALSE","1.044366","0.8500689","FALSE","1.709387","0.06353976","FALSE","1.360878","0.2502879","FALSE","0.9683417","0.9787475","FALSE","0.8672051","0.9992138","FALSE","1.092942","0.7590031","FALSE"
"ppa-miR-141_st","1.785627","0.1357196","FALSE","1.342303","0.6453461","FALSE","2.180374","0.003259005","TRUE","1.510584","0.5010794","FALSE","1.506649","0.3265643","FALSE","1.499973","0.4996284","FALSE","1.362502","0.8349838","FALSE"
"ggo-miR-15b_st","11.45215","8.72E-16","TRUE","12.02701","8.72E-16","TRUE","12.07509","8.72E-16","TRUE","11.73516","8.72E-16","TRUE","11.71036","8.72E-16","TRUE","11.41883","8.72E-16","TRUE","11.16151","8.72E-16","TRUE"
"age-miR-15b_st","11.37254","8.72E-16","TRUE","11.84882","8.72E-16","TRUE","11.92722","8.72E-16","TRUE","11.64939","8.72E-16","TRUE","11.09057","8.72E-16","TRUE","11.3117","8.72E-16","TRUE","11.04554","8.72E-16","TRUE"
"ppa-miR-15b_st","11.2059","8.72E-16","TRUE","11.94551","8.72E-16","TRUE","11.96832","8.72E-16","TRUE","11.68668","8.72E-16","TRUE","11.37173","8.72E-16","TRUE","11.24058","8.72E-16","TRUE","10.92972","8.72E-16","TRUE"
"ppy-miR-15b_st","11.2451","8.72E-16","TRUE","12.00964","8.72E-16","TRUE","12.00469","8.72E-16","TRUE","11.72004","8.72E-16","TRUE","11.42278","8.72E-16","TRUE","11.36158","8.72E-16","TRUE","10.89906","8.72E-16","TRUE"
"ptr-miR-15b_st","11.34418","8.72E-16","TRUE","11.91599","8.72E-16","TRUE","11.99421","8.72E-16","TRUE","11.79883","8.72E-16","TRUE","11.65377","8.72E-16","TRUE","11.46507","8.72E-16","TRUE","11.04649","8.72E-16","TRUE"
"mml-miR-15b_st","11.26016","8.72E-16","TRUE","11.86827","8.72E-16","TRUE","11.83648","8.72E-16","TRUE","11.66336","8.72E-16","TRUE","11.08735","8.72E-16","TRUE","11.26549","8.72E-16","TRUE","10.93669","8.72E-16","TRUE"
"lla-miR-15b_st","11.30117","8.72E-16","TRUE","12.0387","8.72E-16","TRUE","12.01499","8.72E-16","TRUE","11.75677","8.72E-16","TRUE","11.71088","8.72E-16","TRUE","11.44288","8.72E-16","TRUE","10.96493","8.72E-16","TRUE"
"mne-miR-15b_st","11.39226","8.72E-16","TRUE","12.06089","8.72E-16","TRUE","12.17828","8.72E-16","TRUE","11.82889","8.72E-16","TRUE","11.61613","8.72E-16","TRUE","11.37473","8.72E-16","TRUE","11.15301","8.72E-16","TRUE"
"ptr-miR-23b_st","12.56995","8.72E-16","TRUE","12.39386","8.72E-16","TRUE","12.4719","8.72E-16","TRUE","12.45193","8.72E-16","TRUE","12.63689","8.72E-16","TRUE","12.55334","8.72E-16","TRUE","12.37394","8.72E-16","TRUE"
"ppy-miR-23b_st","12.54255","8.72E-16","TRUE","12.3679","8.72E-16","TRUE","12.42421","8.72E-16","TRUE","12.44047","8.72E-16","TRUE","12.36045","8.72E-16","TRUE","12.47009","8.72E-16","TRUE","12.29717","8.72E-16","TRUE"
"ppa-miR-23b_st","12.63022","8.72E-16","TRUE","12.41195","8.72E-16","TRUE","12.41876","8.72E-16","TRUE","12.43406","8.72E-16","TRUE","12.70174","8.72E-16","TRUE","12.47019","8.72E-16","TRUE","12.33982","8.72E-16","TRUE"
"mml-miR-30b_st","6.994825","9.57E-15","TRUE","7.465032","8.72E-16","TRUE","7.44801","1.59E-15","TRUE","7.499316","8.72E-16","TRUE","2.123614","0.06568186","FALSE","6.411797","7.18E-13","TRUE","6.974556","2.90E-15","TRUE"
"ptr-miR-30b_st","6.83836","5.69E-14","TRUE","7.681262","8.72E-16","TRUE","7.621858","8.72E-16","TRUE","7.663655","8.72E-16","TRUE","3.304074","0.07258755","FALSE","5.941712","1.29E-12","TRUE","6.750408","3.15E-14","TRUE"
